id,單字,组词,原註,罕度
1370,衛,保衛(保卫),,0
1372,低,降低,,0
1373,梯,樓梯(楼梯),,0
1374,蹄,馬蹄(马蹄),,0
1377,題,題目(题目),,0
1378,折,骨折,骨折,0
1379,折,折本,折本,0
1380,泥,泥土,泥土,0
1381,泥,拘泥,拘泥,0
1382,犁,犁田,,0
1383,黎,黎明,,0
1384,擠,擁擠(拥挤),,0
1385,妻,妻子,,0
1389,齊,整齊(整齐),整齊,0
1390,齊,齊衰(齐衰),齊衰,0
1394,撕,撕毀(撕毁),,0
1395,西,西方,,0
1398,雞,雞肉(鸡肉),,0
1403,溪,溪流,,0
1409,攜,攜帶(携带),,0
1412,迷,迷路,,0
1413,批,批評(批评),,0
1414,抵,抵抗,,0
1416,底,底部,,0
1419,體,身體(身体),,0
1420,遞,傳遞(传递),,0
1421,弟,弟弟,,0
1423,禮,禮物(礼物),,0
1424,濟,人才濟濟(人才济济),人才濟濟,0
1425,濟,救濟(救济),救濟,0
1426,洗,洗澡,,0
1428,米,大米,,0
1429,帝,皇帝,,0
1432,剃,剃頭(剃头),,0
1433,替,代替,,0
1434,逮,逮捕,,0
1435,第,第一,,0
1438,隸,奴隸(奴隶),,0
1440,砌,堆砌,,0
1441,切,一切,一切,0
1442,切,急切,急切,0
1443,細,仔細(仔细),,0
1445,桂,桂花,,0
1446,計,計劃(计划),,0
1447,繫,聯繫(联系),聯繫,0
1448,繫,繫鞋帶(系鞋带),繫鞋帶,0
1449,繼,繼承(继承),,0
1450,係,關係(关系),,0
1456,系,系統(系统),,0
1457,惠,恩惠,,0
1458,慧,智慧,,0
1459,閉,封閉(封闭),,0
1460,謎,謎語(谜语),,0
1463,臺,舞臺(舞台),,0
1464,檯,櫃檯(柜台),,0
1467,能,能力,,0
1468,來,過來(过来),,0
1470,災,災難(灾难),,0
1472,栽,栽培,,0
1473,猜,猜測(猜测),,0
1474,材,材料,,0
1475,財,財產(财产),,0
1476,裁,裁判,,0
1477,才,才能,,0
