id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8416,日,開,三,魚,平,,遇,洳,0,沮洳,,2
8417,日,開,三,魚,去,,遇,洳,0,洳濕(洳湿),,2
8418,日,開,三,燭,入,,通,蓁,0,蓁蓁,,2
8419,日,開,三,鍾,入,日,通,溽,0,溽暑,,2
8420,日,合,三,仙A,平,日,山,撋,0,撋衣,,3
8421,日,合,三,仙A,上,,山,耎,0,,,3
8422,,,,,,,,耎,0,,,3
8423,日,合,三,脂A,平,日,止,緌,0,,,3
8424,日,合,三,脂A,平,日,止,蕤,0,葳蕤,,2
8425,日,合,三,脂A,平,日,止,桵,0,,,3
8426,日,合,三,祭A,去,日,蟹,汭,0,渭汭,,3
8427,日,合,三,祭A,去,,蟹,蜹,0,,,3
8428,,,,,,,,𠷀,0,,,3
8429,日,開,三,陽,入,日,宕,鄀,0,,,3
8430,日,合,三,仙A,入,日,山,焫,0,,,3
8431,日,開,三,陽,入,日,宕,蒻,0,蒻席,,3
8432,日,合,三,仙A,入,日,山,爇,0,爇香,,3
8433,心,開,四,齊,上,,蟹,洒,0,灑脫(洒脱),,0
8434,生,開,二,佳,去,,蟹,洒,0,洒落,,0
8435,心,開,一,,入,,咸,靸,0,靸鞋,,2
8436,心,開,一,盍,入,,咸,靸,0,靸拉,,2
8437,心,開,一,,入,,咸,鈒,0,鈒花,,3
8438,心,開,一,曷,入,,山,摋,0,,,3
8439,生,開,三,薛B,入,,山,摋,0,,,3
8440,心,合,一,灰,平,精,蟹,毸,0,,,3
8441,心,開,一,咍,平,精,蟹,䚡,0,,,3
8442,,,,,,,,䰄,0,,,3
8443,生,開,二,銜,平,,咸,彡,0,,,3
8444,心,開,三,鹽A,平,,咸,彡,0,,,3
8445,心,開,一,寒,上,,山,繖,0,雨繖(雨伞),,3
8446,心,開,一,寒,去,,山,繖,0,,,3
8447,,,,,,,,𤷫,0,,,3
8448,心,開,一,寒,上,精,山,饊,0,饊子(馓子),,2
8449,心,開,一,覃,上,精,咸,糂,0,,,3
8450,心,開,一,覃,上,精,咸,糣,0,,,3
8451,心,開,一,寒,上,精,山,鏾,0,,,3
